,X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DOY,OCC_DAY,OCC_HOUR,OCC_TIME_RANGE,DIVISION,DEATH,INJURIES,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
955,-79.511828467,43.7593185000001,956,GO-20082426065,2008/07/18 04:00:00+00,2008,July,Friday,200,18,15,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5118284667245,43.7593184999387
956,-79.514763739,43.76720514,957,GO-20083001465,2008/10/11 04:00:00+00,2008,October,Saturday,285,11,22,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
965,-79.487588489,43.749601075,966,GO-20082607472,2008/01/05 05:00:00+00,2008,January,Saturday,5,5,4,Night,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4875884885483,43.7496010753601
976,-79.510697729,43.7598098870001,977,GO-20083022067,2008/10/11 04:00:00+00,2008,October,Saturday,285,11,9,Morning,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5106977292437,43.7598098870839
985,-79.494035087,43.7751627390001,986,GO-20082573771,2008/01/13 05:00:00+00,2008,January,Sunday,13,13,23,Evening,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4940350867737,43.7751627388722
1003,-79.516689325,43.7518500300001,1004,GO-20082747958,2008/09/09 04:00:00+00,2008,September,Tuesday,253,9,19,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.516689324964,43.7518500304016
1014,-79.488758806,43.7545063410001,1015,GO-20083021753,2008/10/15 04:00:00+00,2008,October,Wednesday,289,15,0,Night,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4887588064428,43.7545063414094
1035,-79.514763739,43.76720514,1036,GO-20083000809,2008/11/24 05:00:00+00,2008,November,Monday,329,24,14,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
1038,-79.526902317,43.755306358,1039,GO-20082909545,2008/07/06 04:00:00+00,2008,July,Sunday,188,6,23,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5269023165285,43.7553063584339
1045,-79.518818412,43.7619114080001,1046,GO-20082747960,2008/09/16 04:00:00+00,2008,September,Tuesday,260,16,17,Afternoon,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5188184121788,43.7619114084511
1048,-79.511669941,43.7660358050001,1049,GO-20082747937,2008/05/24 04:00:00+00,2008,May,Saturday,145,24,0,Night,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5116699406399,43.7660358045308
1057,-79.519288183,43.770266264,1058,GO-20082875134,2008/07/18 04:00:00+00,2008,July,Friday,200,18,4,Night,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5192881828067,43.7702662644401
1082,-79.515124825,43.7470881450001,1083,GO-20082386663,2008/01/17 05:00:00+00,2008,January,Thursday,17,17,20,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5151248248268,43.7470881449389
1086,-79.515460253,43.757862204,1087,GO-20082484879,2008/01/01 05:00:00+00,2008,January,Tuesday,1,1,0,Night,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5154602531401,43.7578622037101
1089,-79.507374937,43.76986112,1090,GO-20082380237,2008/03/26 04:00:00+00,2008,March,Wednesday,86,26,3,Night,D22,0,1,27,York University Heights,27,York University Heights (27),-79.5073749365276,43.7698611196334
1093,-79.516178698,43.7598340500001,1094,GO-20082778547,2008/04/21 04:00:00+00,2008,April,Monday,112,21,19,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5161786979242,43.7598340495082
1099,-79.5152277779999,43.7681488160001,1100,GO-20082954481,2008/09/22 04:00:00+00,2008,September,Monday,266,22,21,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5152277778151,43.7681488158175
1103,-79.516962227,43.761964671,1104,GO-20083038203,2008/10/19 04:00:00+00,2008,October,Sunday,293,19,19,Evening,D31,0,2,24,Black Creek,24,Black Creek (24),-79.5169622265097,43.761964670783
1106,-79.487588489,43.749601075,1107,GO-20082484895,2008/01/13 05:00:00+00,2008,January,Sunday,13,13,4,Night,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4875884885483,43.7496010753601
1121,-79.51721486,43.7506048700001,1122,GO-20093565814,2009/12/28 05:00:00+00,2009,December,Monday,362,28,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.517214859916,43.7506048696677
1127,-79.4896545139999,43.758050987,1128,GO-20093160143,2009/02/13 05:00:00+00,2009,February,Friday,44,13,11,Morning,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4896545139845,43.7580509874103
1130,-79.507339754,43.741425344,1131,GO-20093514042,2009/08/25 04:00:00+00,2009,August,Tuesday,237,25,18,Evening,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5073397538096,43.741425343633
1138,-79.51937902,43.7644927540001,1139,GO-20093148245,2009/03/23 04:00:00+00,2009,March,Monday,82,23,19,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5193790196916,43.7644927544044
1139,-79.508052708,43.748071913,1140,GO-20093131914,2009/08/10 04:00:00+00,2009,August,Monday,222,10,23,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5080527081563,43.7480719134857
1147,-79.511669941,43.7660358050001,1148,GO-20093219115,2009/02/22 05:00:00+00,2009,February,Sunday,53,22,19,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5116699406399,43.7660358045308
1150,-79.524283372,43.7559224460001,1151,GO-20093550077,2009/08/24 04:00:00+00,2009,August,Monday,236,24,0,Night,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5242833716889,43.7559224457498
1156,-79.509776771,43.760453672,1157,GO-20093146914,2009/02/20 05:00:00+00,2009,February,Friday,51,20,15,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
1173,-79.501498199,43.7414941580001,1174,GO-20093592918,2009/11/13 05:00:00+00,2009,November,Friday,317,13,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5014981987246,43.7414941583243
1185,-79.5104455809999,43.7492207270001,1186,GO-20093567875,2009/11/17 05:00:00+00,2009,November,Tuesday,321,17,18,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
1204,-79.496691185,43.7519314960001,1205,GO-20093454028,2009/11/03 05:00:00+00,2009,November,Tuesday,307,3,23,Evening,D31,1,0,27,York University Heights,27,York University Heights (27),-79.4966911852528,43.7519314962003
1229,-79.487588489,43.749601075,1230,GO-20093524643,2009/10/18 04:00:00+00,2009,October,Sunday,291,18,3,Night,D31,1,4,27,York University Heights,27,York University Heights (27),-79.4875884885483,43.7496010753601
1232,-79.5048788519999,43.7599578630001,1233,GO-20093180701,2009/04/03 04:00:00+00,2009,April,Friday,93,3,12,Afternoon,D31,0,0,27,York University Heights,27,York University Heights (27),-79.5048788517363,43.7599578627403
1248,-79.518758927,43.769157185,1249,GO-20093145435,2009/03/14 04:00:00+00,2009,March,Saturday,73,14,12,Afternoon,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
1254,-79.5164867399999,43.752502629,1255,GO-20093437668,2009/06/07 04:00:00+00,2009,June,Sunday,158,7,3,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5164867401884,43.7525026291984
1257,-79.5209945349999,43.765089903,1258,GO-20093122292,2009/01/03 05:00:00+00,2009,January,Saturday,3,3,23,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5209945348323,43.7650899027899
1278,-79.526902317,43.755306358,1279,GO-20093148263,2009/04/22 04:00:00+00,2009,April,Wednesday,112,22,11,Morning,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5269023165285,43.7553063584339
1291,-79.5016026019999,43.742827478,1292,GO-20093438920,2009/11/17 05:00:00+00,2009,November,Tuesday,321,17,7,Morning,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5016026023163,43.7428274775363
1310,-79.518758927,43.769157185,1311,GO-20092821191,2009/04/26 04:00:00+00,2009,April,Sunday,116,26,20,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
1314,-79.509776771,43.760453672,1315,GO-20093178191,2009/01/02 05:00:00+00,2009,January,Friday,2,2,20,Evening,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
1329,-79.501498199,43.7414941580001,1330,GO-20093639909,2009/11/26 05:00:00+00,2009,November,Thursday,330,26,21,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5014981987246,43.7414941583243
1330,-79.515460253,43.757862204,1331,GO-20093438679,2009/06/21 04:00:00+00,2009,June,Sunday,172,21,4,Night,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5154602531401,43.7578622037101
1334,-79.509776771,43.760453672,1335,GO-20093219112,2009/02/20 05:00:00+00,2009,February,Friday,51,20,0,Night,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
1338,-79.519685177,43.765902619,1339,GO-20093221254,2009/03/17 04:00:00+00,2009,March,Tuesday,76,17,21,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5196851774208,43.7659026187864
1345,-79.514763739,43.76720514,1346,GO-20093044987,2009/03/24 04:00:00+00,2009,March,Tuesday,83,24,9,Morning,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
1348,-79.514763739,43.76720514,1349,GO-20093221294,2009/05/17 04:00:00+00,2009,May,Sunday,137,17,0,Night,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
1353,-79.5132172799999,43.7393831790001,1354,GO-20093327797,2009/05/12 04:00:00+00,2009,May,Tuesday,132,12,18,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5132172795793,43.7393831786129
1358,-79.499795843,43.7743439000001,1359,GO-20093148280,2009/05/14 04:00:00+00,2009,May,Thursday,134,14,23,Evening,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4997958429143,43.7743438998209
1377,-79.5109334969999,43.7620786140001,1378,GO-20103900979,2010/10/02 04:00:00+00,2010,October,Saturday,275,2,18,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.510933497057,43.7620786144311
1393,-79.518818412,43.7619114080001,1394,GO-20103836758,2010/09/12 04:00:00+00,2010,September,Sunday,255,12,22,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5188184121788,43.7619114084511
1403,-79.480810764,43.7657583920001,1404,GO-20103906660,2010/11/20 05:00:00+00,2010,November,Saturday,324,20,20,Evening,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4808107644527,43.7657583918619
1418,-79.517071158,43.7548481310001,1419,GO-20103789143,2010/05/26 04:00:00+00,2010,May,Wednesday,146,26,22,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5170711581945,43.754848130508
1419,-79.5104455809999,43.7492207270001,1420,GO-20103816829,2010/06/28 04:00:00+00,2010,June,Monday,179,28,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
1431,-79.509776771,43.760453672,1432,GO-20103887625,2010/09/10 04:00:00+00,2010,September,Friday,253,10,18,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
1437,-79.511387056,43.75012851,1438,GO-20103685759,2010/03/16 04:00:00+00,2010,March,Tuesday,75,16,15,Afternoon,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.511387055911,43.7501285096067
1451,-79.514139504,43.743116064,1452,GO-20103708574,2010/04/18 04:00:00+00,2010,April,Sunday,108,18,3,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5141395042727,43.7431160641781
1459,-79.503397446,43.7410703040001,1460,GO-20103988019,2010/11/22 05:00:00+00,2010,November,Monday,326,22,21,Evening,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5033974457219,43.7410703043346
1462,-79.514763739,43.76720514,1463,GO-20103708162,2010/03/19 04:00:00+00,2010,March,Friday,78,19,21,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
1463,-79.5192354659999,43.752865543,1464,GO-20103882170,2010/09/04 04:00:00+00,2010,September,Saturday,247,4,21,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5192354664486,43.7528655426291
1472,-79.511387056,43.75012851,1473,GO-20103888033,2010/09/07 04:00:00+00,2010,September,Tuesday,250,7,21,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.511387055911,43.7501285096067
1473,-79.509677305,43.739666519,1474,GO-20103726182,2010/05/24 04:00:00+00,2010,May,Monday,144,24,0,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5096773046176,43.7396665192647
1498,-79.519685177,43.765902619,1499,GO-20103830863,2010/08/16 04:00:00+00,2010,August,Monday,228,16,16,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5196851774208,43.7659026187864
1529,-79.5068817329999,43.7403182130001,1530,GO-20103520868,2010/07/30 04:00:00+00,2010,July,Friday,211,30,14,Afternoon,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.506881733,43.7403182129664
1535,-79.515681163,43.7491415380001,1536,GO-20103841607,2010/08/15 04:00:00+00,2010,August,Sunday,227,15,18,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5156811631941,43.7491415377157
1542,-79.5134418219999,43.758052934,1543,GO-20103570821,2010/12/29 05:00:00+00,2010,December,Wednesday,363,29,17,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5134418219425,43.7580529338225
1543,-79.5104455809999,43.7492207270001,1544,GO-20103832872,2010/07/18 04:00:00+00,2010,July,Sunday,199,18,22,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
1557,-79.509776771,43.760453672,1558,GO-20103708624,2010/07/12 04:00:00+00,2010,July,Monday,193,12,0,Night,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
1559,-79.509776771,43.760453672,1560,GO-20103711756,2010/06/05 04:00:00+00,2010,June,Saturday,156,5,17,Afternoon,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
1562,-79.5152277779999,43.7681488160001,1563,GO-20103988044,2010/12/29 05:00:00+00,2010,December,Wednesday,363,29,19,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5152277778151,43.7681488158175
1589,-79.51721486,43.7506048700001,1590,GO-20103455843,2010/04/27 04:00:00+00,2010,April,Tuesday,117,27,21,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.517214859916,43.7506048696677
1609,-79.515460253,43.757862204,1610,GO-20103633942,2010/10/04 04:00:00+00,2010,October,Monday,277,4,18,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5154602531401,43.7578622037101
1611,-79.509677305,43.739666519,1612,GO-20103849557,2010/05/24 04:00:00+00,2010,May,Monday,144,24,22,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5096773046176,43.7396665192647
1612,-79.5177280949999,43.7572287130001,1613,GO-20103988554,2010/11/16 05:00:00+00,2010,November,Tuesday,320,16,11,Morning,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5177280946691,43.7572287132495
1614,-79.511387056,43.75012851,1615,GO-20103807892,2010/07/07 04:00:00+00,2010,July,Wednesday,188,7,20,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.511387055911,43.7501285096067
1621,-79.50000052,43.761057076,1622,GO-20103446670,2010/11/03 04:00:00+00,2010,November,Wednesday,307,3,11,Morning,D31,0,1,27,York University Heights,27,York University Heights (27),-79.5000005202526,43.7610570761458
1625,-79.518021456,43.7514302820001,1626,GO-20113985859,2011/05/10 04:00:00+00,2011,May,Tuesday,130,10,23,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5180214562725,43.7514302819744
1627,-79.508052708,43.748071913,1628,GO-20114171910,2011/10/14 04:00:00+00,2011,October,Friday,287,14,18,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5080527081563,43.7480719134857
1629,-79.514763739,43.76720514,1630,GO-20114268300,2011/11/26 05:00:00+00,2011,November,Saturday,330,26,21,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
1637,-79.4990909049999,43.7571302800001,1638,GO-20114024542,2011/02/07 05:00:00+00,2011,February,Monday,38,7,0,Night,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4990909053107,43.7571302798499
1658,-79.515460253,43.757862204,1659,GO-20114028003,2011/11/26 05:00:00+00,2011,November,Saturday,330,26,21,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5154602531401,43.7578622037101
1673,-79.5104455809999,43.7492207270001,1674,GO-20114215118,2011/10/16 04:00:00+00,2011,October,Sunday,289,16,19,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
1682,-79.5104455809999,43.7492207270001,1683,GO-20113985860,2011/05/12 04:00:00+00,2011,May,Thursday,132,12,23,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
1692,-79.5164867399999,43.752502629,1693,GO-20113582659,2011/06/16 04:00:00+00,2011,June,Thursday,167,16,22,Evening,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5164867401884,43.7525026291984
1698,-79.509776771,43.760453672,1699,GO-20113861820,2011/07/18 04:00:00+00,2011,July,Monday,199,18,14,Afternoon,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
1707,-79.5104455809999,43.7492207270001,1708,GO-20114229347,2011/11/03 04:00:00+00,2011,November,Thursday,307,3,9,Morning,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
1717,-79.503397446,43.7410703040001,1718,GO-20113968882,2011/10/17 04:00:00+00,2011,October,Monday,290,17,19,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5033974457219,43.7410703043346
1729,-79.514808344,43.763390019,1730,GO-20114032731,2011/06/05 04:00:00+00,2011,June,Sunday,156,5,19,Evening,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5148083441961,43.7633900194332
1736,-79.511387056,43.75012851,1737,GO-20113861776,2011/04/12 04:00:00+00,2011,April,Tuesday,102,12,17,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.511387055911,43.7501285096067
1753,-79.5095504829999,43.758905477,1754,GO-20114142569,2011/10/25 04:00:00+00,2011,October,Tuesday,298,25,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5095504825815,43.758905477079
1756,-79.516895365,43.752408894,1757,GO-20114257920,2011/12/20 05:00:00+00,2011,December,Tuesday,354,20,7,Morning,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5168953645627,43.7524088938438
1760,-79.5225306579999,43.7674832010001,1761,GO-20114040267,2011/05/10 04:00:00+00,2011,May,Tuesday,130,10,15,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5225306576437,43.7674832010992
1766,-79.515460253,43.757862204,1767,GO-20114032702,2011/05/13 04:00:00+00,2011,May,Friday,133,13,18,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5154602531401,43.7578622037101
1787,-79.5068817329999,43.7403182130001,1788,GO-20114188529,2011/10/09 04:00:00+00,2011,October,Sunday,282,9,15,Afternoon,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.506881733,43.7403182129664
1793,-79.5104455809999,43.7492207270001,1794,GO-20114040296,2011/06/04 04:00:00+00,2011,June,Saturday,155,4,18,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
1809,-79.5192354659999,43.752865543,1810,GO-20114118090,2011/09/08 04:00:00+00,2011,September,Thursday,251,8,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5192354664486,43.7528655426291
1810,-79.5068817329999,43.7403182130001,1811,GO-20114040311,2011/06/16 04:00:00+00,2011,June,Thursday,167,16,23,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.506881733,43.7403182129664
1814,-79.4910452239999,43.7448491280001,1815,GO-20114133510,2011/08/27 04:00:00+00,2011,August,Saturday,239,27,20,Evening,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4910452239592,43.7448491284804
1823,-79.4918464259999,43.7436429750001,1824,GO-20114244162,2011/10/24 04:00:00+00,2011,October,Monday,297,24,0,Night,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4918464260711,43.7436429749485
1825,-79.5109334969999,43.7620786140001,1826,GO-20114244358,2011/10/15 04:00:00+00,2011,October,Saturday,288,15,1,Night,D31,1,0,24,Black Creek,24,Black Creek (24),-79.510933497057,43.7620786144311
1829,-79.516895365,43.752408894,1830,GO-20114138612,2011/07/14 04:00:00+00,2011,July,Thursday,195,14,23,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5168953645627,43.7524088938438
1831,-79.509776771,43.760453672,1832,GO-20114250088,2011/07/18 04:00:00+00,2011,July,Monday,199,18,14,Afternoon,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
1843,-79.486448701,43.7447713440001,1844,GO-20114257909,2011/12/11 05:00:00+00,2011,December,Sunday,345,11,18,Evening,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4864487005524,43.7447713436292
1850,-79.509120173,43.7581270260001,1851,GO-20113682042,2011/10/20 04:00:00+00,2011,October,Thursday,293,20,18,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5091201725792,43.7581270261914
1866,-79.515460253,43.757862204,1867,GO-20124663461,2012/10/10 04:00:00+00,2012,October,Wednesday,284,10,23,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5154602531401,43.7578622037101
1889,-79.487588489,43.749601075,1890,GO-20124571943,2012/09/30 04:00:00+00,2012,September,Sunday,274,30,4,Night,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4875884885483,43.7496010753601
1892,-79.516074535,43.7507307820001,1893,GO-20123760782,2012/04/14 04:00:00+00,2012,April,Saturday,105,14,23,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5160745352033,43.7507307824281
1904,-79.519288183,43.770266264,1905,GO-20124421429,2012/05/25 04:00:00+00,2012,May,Friday,146,25,19,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5192881828067,43.7702662644401
1909,-79.484793096,43.761003498,1910,GO-20124451209,2012/04/14 04:00:00+00,2012,April,Saturday,105,14,6,Morning,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4847930960515,43.7610034983701
1921,-79.5143791249999,43.745323523,1922,GO-20124434770,2012/06/18 04:00:00+00,2012,June,Monday,170,18,15,Afternoon,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5143791250712,43.7453235232551
1929,-79.490126959,43.782579841,1930,GO-20124424330,2012/05/05 04:00:00+00,2012,May,Saturday,126,5,23,Evening,D31,0,0,27,York University Heights,27,York University Heights (27),-79.490126959233,43.7825798405534
1930,-79.508052708,43.748071913,1931,GO-20124333640,2012/01/10 05:00:00+00,2012,January,Tuesday,10,10,11,Morning,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5080527081563,43.7480719134857
1934,-79.5164867399999,43.752502629,1935,GO-20124478742,2012/07/04 04:00:00+00,2012,July,Wednesday,186,4,0,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5164867401884,43.7525026291984
1950,-79.4750768119999,43.7572122540001,1951,GO-20124435135,2012/01/09 05:00:00+00,2012,January,Monday,9,9,19,Evening,D32,0,0,27,York University Heights,27,York University Heights (27),-79.4750768117999,43.7572122543497
1959,-79.5045136159999,43.767653625,1960,GO-20124268362,2012/02/18 05:00:00+00,2012,February,Saturday,49,18,0,Night,D31,0,0,27,York University Heights,27,York University Heights (27),-79.5045136163132,43.7676536246771
1963,-79.50000052,43.761057076,1964,GO-20124331374,2012/02/08 05:00:00+00,2012,February,Wednesday,39,8,16,Afternoon,D31,0,1,27,York University Heights,27,York University Heights (27),-79.5000005202526,43.7610570761458
1965,-79.494190299,43.7504350790001,1966,GO-20124409543,2012/06/30 04:00:00+00,2012,June,Saturday,182,30,21,Evening,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4941902994417,43.7504350794768
1973,-79.512935203,43.752241423,1974,GO-20124504230,2012/08/09 04:00:00+00,2012,August,Thursday,222,9,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5129352029045,43.7522414225474
1977,-79.512935203,43.752241423,1978,GO-20124835700,2012/11/23 05:00:00+00,2012,November,Friday,328,23,21,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5129352029045,43.7522414225474
2002,-79.514763739,43.76720514,2003,GO-20124622186,2012/07/20 04:00:00+00,2012,July,Friday,202,20,21,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
2022,-79.5104455809999,43.7492207270001,2023,GO-20124652055,2012/11/03 04:00:00+00,2012,November,Saturday,308,3,17,Afternoon,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
2025,-79.524283372,43.7559224460001,2026,GO-20124453311,2012/09/16 04:00:00+00,2012,September,Sunday,260,16,5,Night,D23,1,0,24,Black Creek,24,Black Creek (24),-79.5242833716889,43.7559224457498
2049,-79.5177280949999,43.7572287130001,2050,GO-20124507364,2012/10/16 04:00:00+00,2012,October,Tuesday,290,16,19,Evening,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5177280946691,43.7572287132495
2057,-79.484793096,43.761003498,2058,GO-20124483335,2012/07/02 04:00:00+00,2012,July,Monday,184,2,1,Night,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4847930960515,43.7610034983701
2061,-79.491049682,43.7634960090001,2062,GO-20124330549,2012/03/13 04:00:00+00,2012,March,Tuesday,73,13,3,Night,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4910496816828,43.7634960094883
2076,-79.516689325,43.7518500300001,2077,GO-20134954079,2013/02/11 05:00:00+00,2013,February,Monday,42,11,22,Evening,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.516689324964,43.7518500304016
