,X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DOY,OCC_DAY,OCC_HOUR,OCC_TIME_RANGE,DIVISION,DEATH,INJURIES,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
288,-79.520698695,43.7567260210001,289,GO-20051223946,2005/09/27 04:00:00+00,2005,September,Tuesday,270,27,22,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5206986946286,43.7567260208018
299,-79.516074535,43.7507307820001,300,GO-2005761112,2005/06/11 04:00:00+00,2005,June,Saturday,162,11,2,Night,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5160745352033,43.7507307824281
300,-79.514403702,43.7441122700001,301,GO-20051096487,2005/08/03 04:00:00+00,2005,August,Wednesday,215,3,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5144037021689,43.7441122698814
304,-79.515124825,43.7470881450001,305,GO-2005772597,2005/04/28 04:00:00+00,2005,April,Thursday,118,28,15,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5151248248268,43.7470881449389
307,-79.514763739,43.76720514,308,GO-2005952369,2005/06/18 04:00:00+00,2005,June,Saturday,169,18,0,Night,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
308,-79.526902317,43.755306358,309,GO-20051167602,2005/07/30 04:00:00+00,2005,July,Saturday,211,30,15,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5269023165285,43.7553063584339
318,-79.486985214,43.7470450050001,319,GO-20051050162,2005/05/23 04:00:00+00,2005,May,Monday,143,23,22,Evening,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4869852138374,43.7470450053408
329,-79.521867205,43.766763417,330,GO-20051000509,2005/06/24 04:00:00+00,2005,June,Friday,175,24,21,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5218672052404,43.7667634174734
333,-79.5132172799999,43.7393831790001,334,GO-2005812216,2005/08/02 04:00:00+00,2005,August,Tuesday,214,2,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5132172795793,43.7393831786129
347,-79.509522128,43.7391209370001,348,GO-2005761120,2005/08/30 04:00:00+00,2005,August,Tuesday,242,30,17,Afternoon,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5095221282586,43.7391209368936
360,-79.514763739,43.76720514,361,GO-20051096519,2005/09/10 04:00:00+00,2005,September,Saturday,253,10,14,Afternoon,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
368,-79.509120173,43.7581270260001,369,GO-2005774900,2005/01/21 05:00:00+00,2005,January,Friday,21,21,1,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5091201725792,43.7581270261914
373,-79.509299202,43.738304844,374,GO-2005732268,2005/02/01 05:00:00+00,2005,February,Tuesday,32,1,22,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5092992016922,43.7383048438255
384,-79.509677305,43.739666519,385,GO-20051051617,2005/07/08 04:00:00+00,2005,July,Friday,189,8,17,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5096773046176,43.7396665192647
386,-79.517846799,43.7501933460001,387,GO-20051297377,2005/10/24 04:00:00+00,2005,October,Monday,297,24,15,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5178467985182,43.7501933457997
398,-79.486985214,43.7470450050001,399,GO-2005970809,2005/05/25 04:00:00+00,2005,May,Wednesday,145,25,18,Evening,D31,0,0,27,York University Heights,27,York University Heights (27),-79.4869852138374,43.7470450053408
403,-79.516689325,43.7518500300001,404,GO-20051443414,2005/12/23 05:00:00+00,2005,December,Friday,357,23,17,Afternoon,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.516689324964,43.7518500304016
415,-79.5177280949999,43.7572287130001,416,GO-20051117819,2005/08/21 04:00:00+00,2005,August,Sunday,233,21,17,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5177280946691,43.7572287132495
416,-79.516340504,43.751886563,417,GO-20051203047,2005/09/13 04:00:00+00,2005,September,Tuesday,256,13,21,Evening,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5163405044465,43.7518865628673
436,-79.526902317,43.755306358,437,GO-20051203108,2005/11/19 05:00:00+00,2005,November,Saturday,323,19,1,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5269023165285,43.7553063584339
444,-79.5104455809999,43.7492207270001,445,GO-20051017468,2005/05/02 04:00:00+00,2005,May,Monday,122,2,22,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
456,-79.513398164,43.7451524750001,457,GO-20061798672,2006/08/13 04:00:00+00,2006,August,Sunday,225,13,18,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5133981638069,43.7451524745817
459,-79.500474348,43.7449687960001,460,GO-20061361475,2006/02/06 05:00:00+00,2006,February,Monday,37,6,23,Evening,D31,1,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5004743480429,43.7449687956252
460,-79.515124825,43.7470881450001,461,GO-20061866557,2006/11/14 05:00:00+00,2006,November,Tuesday,318,14,16,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5151248248268,43.7470881449389
474,-79.5104455809999,43.7492207270001,475,GO-20061503827,2006/03/18 05:00:00+00,2006,March,Saturday,77,18,17,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
479,-79.5152277779999,43.7681488160001,480,GO-20061460802,2006/01/27 05:00:00+00,2006,January,Friday,27,27,15,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5152277778151,43.7681488158175
494,-79.5165807829999,43.7604331300001,495,GO-20061876931,2006/12/26 05:00:00+00,2006,December,Tuesday,360,26,23,Evening,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5165807833584,43.7604331296205
499,-79.5005171609999,43.762234871,500,GO-20061874685,2006/09/25 04:00:00+00,2006,September,Monday,268,25,0,Night,D31,0,1,27,York University Heights,27,York University Heights (27),-79.5005171611429,43.7622348707609
501,-79.526637589,43.764067201,502,GO-20061438819,2006/04/30 04:00:00+00,2006,April,Sunday,120,30,1,Night,D23,0,1,24,Black Creek,24,Black Creek (24),-79.5266375887726,43.7640672013469
531,-79.526902317,43.755306358,532,GO-20061558918,2006/03/01 05:00:00+00,2006,March,Wednesday,60,1,15,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5269023165285,43.7553063584339
533,-79.4714769879999,43.7678203080001,534,GO-20061248371,2006/05/28 04:00:00+00,2006,May,Sunday,148,28,10,Morning,D13,0,0,27,York University Heights,27,York University Heights (27),-79.4714769880066,43.7678203076073
537,-79.507191523,43.748466954,538,GO-20061671071,2006/03/27 05:00:00+00,2006,March,Monday,86,27,23,Evening,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5071915233762,43.7484669537968
561,-79.4714769879999,43.7678203080001,562,GO-20061782519,2006/11/12 05:00:00+00,2006,November,Sunday,316,12,1,Night,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4714769880066,43.7678203076073
568,-79.5132172799999,43.7393831790001,569,GO-20061581722,2006/03/10 05:00:00+00,2006,March,Friday,69,10,0,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5132172795793,43.7393831786129
